ID,Name,Type,Payroll ($M),Risk Quality,WC_clerical,WC_pubworks,WC_police,WC_fire,GL_gen,GL_epl,GL_lawenf,GL_abuse
member-038,Ridgeway County 038,County,1.292,6.2,0.5814,0.323,0.2584,0.1292,1.0,1.1,1.0,0.8
member-039,Stonehill Special District 039,Special District,4.441,5.2,2.2205,2.2205,0.0,0.0,0.9,1.0,0.05,0.4
member-040,Oakdale Water District 040,Water District,2.274,3.4,0.6822,1.5918,0.0,0.0,0.8,1.2,0.0,0.1
member-041,Northvale Transit Authority 041,Transit Authority,3.681,5.5,0.9203,2.7607,0.0,0.0,1.6,1.0,0.1,0.3
member-042,Eastbrook School District 042,School District,4.025,7.0,2.8175,1.127,0.0805,0.0,0.9,1.1,0.1,1.8
member-043,Southgate Park District 043,Park District,5.354,6.0,1.6062,3.7478,0.0,0.0,1.0,0.8,0.05,1.6
member-044,Riverton Recreation District 044,Recreation District,8.266,4.9,3.7197,4.5463,0.0,0.0,1.0,0.8,0.05,1.9
member-045,Harbor County 045,County,10.605,9.6,4.7723,2.6513,2.121,1.0605,1.0,1.1,1.0,0.8
member-046,Ashford School District 046,School District,3.864,8.2,2.7048,1.0819,0.0773,0.0,0.9,1.1,0.1,1.8
member-047,Ashford County 047,County,6.375,7.6,2.8687,1.5938,1.275,0.6375,1.0,1.1,1.0,0.8
member-048,Westfield Water District 048,Water District,4.093,5.0,1.2279,2.8651,0.0,0.0,0.8,1.2,0.0,0.1
member-049,Westfield City 049,City,3.037,1.7,1.0629,0.9111,0.6681,0.3948,1.1,1.0,1.0,0.6
member-050,Ashford Fire District 050,Fire District,4.679,5.3,0.3743,0.1872,0.0,4.1175,0.9,0.9,0.05,0.2
member-051,Eastbrook County 051,County,0.818,7.4,0.3681,0.2045,0.1636,0.0818,1.0,1.1,1.0,0.8
member-052,Southgate Water District 052,Water District,6.87,3.1,2.061,4.809,0.0,0.0,0.8,1.2,0.0,0.1
member-053,Eastbrook School District 053,School District,3.064,5.1,2.1448,0.8579,0.0613,0.0,0.9,1.1,0.1,1.8
member-054,Riverton Special District 054,Special District,5.976,6.2,2.988,2.988,0.0,0.0,0.9,1.0,0.05,0.4
member-055,Lakeside Transit Authority 055,Transit Authority,15.644,3.5,3.911,11.733,0.0,0.0,1.6,1.0,0.1,0.3
member-056,Pinecrest Water District 056,Water District,6.679,5.4,2.0037,4.6753,0.0,0.0,0.8,1.2,0.0,0.1
member-057,Summit Fire District 057,Fire District,2.197,2.8,0.1758,0.0879,0.0,1.9334,0.9,0.9,0.05,0.2
member-058,Ridgeway School District 058,School District,1.834,5.3,1.2838,0.5135,0.0367,0.0,0.9,1.1,0.1,1.8
member-059,Maplewood Special District 059,Special District,1.424,6.1,0.712,0.712,0.0,0.0,0.9,1.0,0.05,0.4
member-060,Oakdale City 060,City,1.476,3.0,0.5166,0.4428,0.3247,0.1919,1.1,1.0,1.0,0.6
member-061,Lakeside County 061,County,4.529,6.4,2.0381,1.1322,0.9058,0.4529,1.0,1.1,1.0,0.8
member-062,Glenmoor City 062,City,20.551,4.5,7.1928,6.1653,4.5212,2.6716,1.1,1.0,1.0,0.6
member-063,Valley City 063,City,6.543,3.1,2.29,1.9629,1.4395,0.8506,1.1,1.0,1.0,0.6
member-064,Harbor City 064,City,12.47,4.4,4.3645,3.741,2.7434,1.6211,1.1,1.0,1.0,0.6
member-065,Maplewood Transit Authority 065,Transit Authority,6.894,4.8,1.7235,5.1705,0.0,0.0,1.6,1.0,0.1,0.3
member-066,Stonehill Fire District 066,Fire District,1.297,5.2,0.1038,0.0519,0.0,1.1414,0.9,0.9,0.05,0.2
member-067,Northvale Transit Authority 067,Transit Authority,31.641,4.1,7.9102,23.7308,0.0,0.0,1.6,1.0,0.1,0.3
member-068,Eastbrook Transit Authority 068,Transit Authority,109.43,5.1,27.3575,82.0725,0.0,0.0,1.6,1.0,0.1,0.3
member-069,Cedar Falls Transit Authority 069,Transit Authority,2.128,5.1,0.532,1.596,0.0,0.0,1.6,1.0,0.1,0.3
member-070,Lakeside Recreation District 070,Recreation District,8.543,2.8,3.8443,4.6986,0.0,0.0,1.0,0.8,0.05,1.9
member-071,Oakdale Water District 071,Water District,1.661,5.0,0.4983,1.1627,0.0,0.0,0.8,1.2,0.0,0.1
member-072,Westfield City 072,City,5.258,2.8,1.8403,1.5774,1.1568,0.6835,1.1,1.0,1.0,0.6
member-073,Westfield Special District 073,Special District,5.851,7.1,2.9255,2.9255,0.0,0.0,0.9,1.0,0.05,0.4
member-074,Ridgeway Park District 074,Park District,5.953,6.6,1.7859,4.1671,0.0,0.0,1.0,0.8,0.05,1.6
member-075,Clearwater Park District 075,Park District,5.679,7.2,1.7037,3.9753,0.0,0.0,1.0,0.8,0.05,1.6
member-076,Southgate Transit Authority 076,Transit Authority,3.606,7.3,0.9015,2.7045,0.0,0.0,1.6,1.0,0.1,0.3
member-077,Northvale City 077,City,1.964,4.1,0.6874,0.5892,0.4321,0.2553,1.1,1.0,1.0,0.6
member-078,Lakeside Fire District 078,Fire District,15.789,6.3,1.2631,0.6316,0.0,13.8943,0.9,0.9,0.05,0.2
member-079,Northvale Park District 079,Park District,1.408,5.6,0.4224,0.9856,0.0,0.0,1.0,0.8,0.05,1.6
member-080,Fairmont City 080,City,14.585,3.1,5.1048,4.3755,3.2087,1.8961,1.1,1.0,1.0,0.6
member-081,Fairmont Transit Authority 081,Transit Authority,7.255,4.0,1.8137,5.4413,0.0,0.0,1.6,1.0,0.1,0.3
member-082,Southgate Water District 082,Water District,7.531,6.2,2.2593,5.2717,0.0,0.0,0.8,1.2,0.0,0.1
member-083,Westfield Special District 083,Special District,5.088,7.4,2.544,2.544,0.0,0.0,0.9,1.0,0.05,0.4
member-084,Valley Water District 084,Water District,0.65,3.7,0.195,0.455,0.0,0.0,0.8,1.2,0.0,0.1
member-085,Lakeside Park District 085,Park District,7.265,5.6,2.1795,5.0855,0.0,0.0,1.0,0.8,0.05,1.6
member-086,Northvale Special District 086,Special District,9.048,4.8,4.524,4.524,0.0,0.0,0.9,1.0,0.05,0.4
member-087,Ashford County 087,County,10.42,5.2,4.689,2.605,2.084,1.042,1.0,1.1,1.0,0.8
member-088,Clearwater Recreation District 088,Recreation District,14.392,1.3,6.4764,7.9156,0.0,0.0,1.0,0.8,0.05,1.9
member-089,Southgate County 089,County,2.751,5.0,1.2379,0.6877,0.5502,0.2751,1.0,1.1,1.0,0.8
member-090,Pinecrest Recreation District 090,Recreation District,5.756,8.1,2.5902,3.1658,0.0,0.0,1.0,0.8,0.05,1.9
member-091,Brookhaven Water District 091,Water District,7.202,0.9,2.1606,5.0414,0.0,0.0,0.8,1.2,0.0,0.1
member-092,Eastbrook City 092,City,5.098,4.6,1.7843,1.5294,1.1216,0.6627,1.1,1.0,1.0,0.6
member-093,Glenmoor Special District 093,Special District,3.263,8.1,1.6315,1.6315,0.0,0.0,0.9,1.0,0.05,0.4
member-094,Northvale Park District 094,Park District,6.209,5.2,1.8627,4.3463,0.0,0.0,1.0,0.8,0.05,1.6
member-095,Clearwater City 095,City,6.767,3.5,2.3685,2.0301,1.4887,0.8797,1.1,1.0,1.0,0.6
member-096,Maplewood City 096,City,1.887,3.1,0.6604,0.5661,0.4151,0.2453,1.1,1.0,1.0,0.6
member-097,Harbor Water District 097,Water District,5.197,5.5,1.5591,3.6379,0.0,0.0,0.8,1.2,0.0,0.1
member-098,Oakdale County 098,County,7.143,7.1,3.2144,1.7857,1.4286,0.7143,1.0,1.1,1.0,0.8
member-099,Ridgeway Special District 099,Special District,0.912,6.3,0.456,0.456,0.0,0.0,0.9,1.0,0.05,0.4
member-100,Maplewood Water District 100,Water District,10.826,7.2,3.2478,7.5782,0.0,0.0,0.8,1.2,0.0,0.1
member-101,Stonehill School District 101,School District,2.753,4.0,1.9271,0.7708,0.0551,0.0,0.9,1.1,0.1,1.8
member-102,Stonehill Transit Authority 102,Transit Authority,2.331,4.3,0.5827,1.7483,0.0,0.0,1.6,1.0,0.1,0.3
member-103,Glenmoor Transit Authority 103,Transit Authority,6.28,6.5,1.57,4.71,0.0,0.0,1.6,1.0,0.1,0.3
member-104,Stonehill Park District 104,Park District,11.641,5.1,3.4923,8.1487,0.0,0.0,1.0,0.8,0.05,1.6
member-105,Ridgeway Water District 105,Water District,4.907,3.7,1.4721,3.4349,0.0,0.0,0.8,1.2,0.0,0.1
member-106,Pinecrest Water District 106,Water District,1.113,3.8,0.3339,0.7791,0.0,0.0,0.8,1.2,0.0,0.1
member-107,Lakeside Water District 107,Water District,2.117,2.9,0.6351,1.4819,0.0,0.0,0.8,1.2,0.0,0.1
member-108,Valley School District 108,School District,2.626,9.0,1.8382,0.7353,0.0525,0.0,0.9,1.1,0.1,1.8
member-109,Stonehill Fire District 109,Fire District,5.941,2.8,0.4753,0.2376,0.0,5.2281,0.9,0.9,0.05,0.2
member-110,Brookhaven County 110,County,3.581,7.0,1.6115,0.8952,0.7162,0.3581,1.0,1.1,1.0,0.8
member-111,Pinecrest Special District 111,Special District,1.155,5.6,0.5775,0.5775,0.0,0.0,0.9,1.0,0.05,0.4
member-112,Glenmoor Water District 112,Water District,2.286,4.4,0.6858,1.6002,0.0,0.0,0.8,1.2,0.0,0.1
member-113,Northvale Transit Authority 113,Transit Authority,3.876,6.5,0.969,2.907,0.0,0.0,1.6,1.0,0.1,0.3
member-114,Ashford Special District 114,Special District,15.781,5.1,7.8905,7.8905,0.0,0.0,0.9,1.0,0.05,0.4
member-115,Pinecrest County 115,County,4.932,4.1,2.2194,1.233,0.9864,0.4932,1.0,1.1,1.0,0.8
member-116,Pinecrest City 116,City,3.849,5.7,1.3472,1.1547,0.8468,0.5004,1.1,1.0,1.0,0.6
member-117,Summit County 117,County,1.434,7.1,0.6453,0.3585,0.2868,0.1434,1.0,1.1,1.0,0.8
member-118,Valley School District 118,School District,31.281,3.5,21.8967,8.7587,0.6256,0.0,0.9,1.1,0.1,1.8
member-119,Summit Recreation District 119,Recreation District,9.721,2.8,4.3745,5.3466,0.0,0.0,1.0,0.8,0.05,1.9
member-120,Pinecrest Water District 120,Water District,8.615,9.9,2.5845,6.0305,0.0,0.0,0.8,1.2,0.0,0.1
member-121,Oakdale Fire District 121,Fire District,3.452,5.7,0.2762,0.1381,0.0,3.0378,0.9,0.9,0.05,0.2
member-122,Stonehill Transit Authority 122,Transit Authority,3.945,6.2,0.9862,2.9587,0.0,0.0,1.6,1.0,0.1,0.3
member-123,Eastbrook Fire District 123,Fire District,1.404,6.1,0.1123,0.0562,0.0,1.2355,0.9,0.9,0.05,0.2
member-124,Ridgeway County 124,County,3.878,9.2,1.7451,0.9695,0.7756,0.3878,1.0,1.1,1.0,0.8
member-125,Ashford City 125,City,1.442,4.4,0.5047,0.4326,0.3172,0.1875,1.1,1.0,1.0,0.6
member-126,Harbor City 126,City,6.04,2.7,2.114,1.812,1.3288,0.7852,1.1,1.0,1.0,0.6
member-127,Harbor Special District 127,Special District,32.03,6.9,16.015,16.015,0.0,0.0,0.9,1.0,0.05,0.4
member-128,Glenmoor Water District 128,Water District,7.602,5.7,2.2806,5.3214,0.0,0.0,0.8,1.2,0.0,0.1
member-129,Summit Recreation District 129,Recreation District,11.68,3.6,5.256,6.424,0.0,0.0,1.0,0.8,0.05,1.9
member-130,Clearwater Recreation District 130,Recreation District,10.85,2.7,4.8825,5.9675,0.0,0.0,1.0,0.8,0.05,1.9
member-131,Glenmoor Water District 131,Water District,7.34,6.0,2.202,5.138,0.0,0.0,0.8,1.2,0.0,0.1
member-132,Valley Park District 132,Park District,12.553,4.0,3.7659,8.7871,0.0,0.0,1.0,0.8,0.05,1.6
member-133,Northvale Transit Authority 133,Transit Authority,11.44,4.4,2.86,8.58,0.0,0.0,1.6,1.0,0.1,0.3
member-134,Lakeside City 134,City,0.709,4.6,0.2481,0.2127,0.156,0.0922,1.1,1.0,1.0,0.6
member-135,Maplewood City 135,City,2.396,4.2,0.8386,0.7188,0.5271,0.3115,1.1,1.0,1.0,0.6
member-136,Ashford Fire District 136,Fire District,5.445,3.8,0.4356,0.2178,0.0,4.7916,0.9,0.9,0.05,0.2
member-137,Summit Fire District 137,Fire District,3.89,4.4,0.3112,0.1556,0.0,3.4232,0.9,0.9,0.05,0.2
member-138,Eastbrook City 138,City,7.181,3.4,2.5133,2.1543,1.5798,0.9335,1.1,1.0,1.0,0.6
member-139,Brookhaven Recreation District 139,Recreation District,1.509,1.3,0.679,0.8299,0.0,0.0,1.0,0.8,0.05,1.9
member-140,Fairmont County 140,County,5.134,6.7,2.3103,1.2835,1.0268,0.5134,1.0,1.1,1.0,0.8
member-141,Pinecrest Transit Authority 141,Transit Authority,23.659,6.7,5.9147,17.7443,0.0,0.0,1.6,1.0,0.1,0.3
member-142,Valley Park District 142,Park District,4.042,5.3,1.2126,2.8294,0.0,0.0,1.0,0.8,0.05,1.6
member-143,Lakeside Special District 143,Special District,3.009,5.0,1.5045,1.5045,0.0,0.0,0.9,1.0,0.05,0.4
member-144,Stonehill Special District 144,Special District,5.035,6.8,2.5175,2.5175,0.0,0.0,0.9,1.0,0.05,0.4
member-145,Ridgeway School District 145,School District,8.739,3.8,6.1173,2.4469,0.1748,0.0,0.9,1.1,0.1,1.8
member-146,Westfield City 146,City,2.369,2.2,0.8292,0.7107,0.5212,0.308,1.1,1.0,1.0,0.6
member-147,Westfield Park District 147,Park District,2.35,7.3,0.705,1.645,0.0,0.0,1.0,0.8,0.05,1.6
member-148,Summit Recreation District 148,Recreation District,3.141,4.0,1.4135,1.7276,0.0,0.0,1.0,0.8,0.05,1.9
member-149,Maplewood Water District 149,Water District,1.663,7.8,0.4989,1.1641,0.0,0.0,0.8,1.2,0.0,0.1
member-150,Ashford City 150,City,1.481,4.3,0.5183,0.4443,0.3258,0.1925,1.1,1.0,1.0,0.6
member-151,Fairmont Special District 151,Special District,1.241,5.3,0.6205,0.6205,0.0,0.0,0.9,1.0,0.05,0.4
member-152,Clearwater Water District 152,Water District,2.69,0,0.807,1.883,0.0,0.0,0.8,1.2,0.0,0.1
member-153,Pinecrest School District 153,School District,18.448,3.0,12.9136,5.1654,0.369,0.0,0.9,1.1,0.1,1.8
member-154,Brookhaven Water District 154,Water District,3.118,3.6,0.9354,2.1826,0.0,0.0,0.8,1.2,0.0,0.1
member-155,Brookhaven Recreation District 155,Recreation District,25.995,6.5,11.6978,14.2973,0.0,0.0,1.0,0.8,0.05,1.9
member-156,Maplewood Park District 156,Park District,1.002,5.3,0.3006,0.7014,0.0,0.0,1.0,0.8,0.05,1.6
member-157,Ridgeway City 157,City,5.408,3.1,1.8928,1.6224,1.1898,0.703,1.1,1.0,1.0,0.6
member-158,Valley Water District 158,Water District,3.261,7.7,0.9783,2.2827,0.0,0.0,0.8,1.2,0.0,0.1
member-159,Ridgeway Park District 159,Park District,3.706,6.0,1.1118,2.5942,0.0,0.0,1.0,0.8,0.05,1.6
member-160,Brookhaven City 160,City,3.119,2.4,1.0917,0.9357,0.6862,0.4055,1.1,1.0,1.0,0.6
member-161,Northvale Park District 161,Park District,1.884,5.0,0.5652,1.3188,0.0,0.0,1.0,0.8,0.05,1.6
member-162,Stonehill City 162,City,4.914,5.3,1.7199,1.4742,1.0811,0.6388,1.1,1.0,1.0,0.6
member-163,Cedar Falls School District 163,School District,1.454,7.6,1.0178,0.4071,0.0291,0.0,0.9,1.1,0.1,1.8
member-164,Pinecrest Water District 164,Water District,3.317,3.3,0.9951,2.3219,0.0,0.0,0.8,1.2,0.0,0.1
member-165,Ridgeway Fire District 165,Fire District,3.371,4.8,0.2697,0.1348,0.0,2.9665,0.9,0.9,0.05,0.2
member-166,Lakeside Fire District 166,Fire District,3.095,1.9,0.2476,0.1238,0.0,2.7236,0.9,0.9,0.05,0.2
member-167,Harbor County 167,County,3.267,5.2,1.4702,0.8167,0.6534,0.3267,1.0,1.1,1.0,0.8
member-168,Westfield Special District 168,Special District,1.902,6.6,0.951,0.951,0.0,0.0,0.9,1.0,0.05,0.4
member-169,Stonehill Recreation District 169,Recreation District,3.121,6.1,1.4044,1.7166,0.0,0.0,1.0,0.8,0.05,1.9
member-170,Southgate City 170,City,1.842,3.5,0.6447,0.5526,0.4052,0.2395,1.1,1.0,1.0,0.6
member-171,Riverton Transit Authority 171,Transit Authority,3.085,4.6,0.7712,2.3137,0.0,0.0,1.6,1.0,0.1,0.3
member-172,Riverton City 172,City,8.144,3.7,2.8504,2.4432,1.7917,1.0587,1.1,1.0,1.0,0.6
member-173,Riverton Water District 173,Water District,3.789,6.4,1.1367,2.6523,0.0,0.0,0.8,1.2,0.0,0.1
member-174,Harbor City 174,City,10.286,4.2,3.6001,3.0858,2.2629,1.3372,1.1,1.0,1.0,0.6
member-175,Harbor School District 175,School District,6.504,5.7,4.5528,1.8211,0.1301,0.0,0.9,1.1,0.1,1.8
member-176,Summit Special District 176,Special District,8.036,7.1,4.018,4.018,0.0,0.0,0.9,1.0,0.05,0.4
member-177,Brookhaven Park District 177,Park District,0.959,4.8,0.2877,0.6713,0.0,0.0,1.0,0.8,0.05,1.6
member-178,Stonehill Park District 178,Park District,0.78,7.4,0.234,0.546,0.0,0.0,1.0,0.8,0.05,1.6
member-179,Valley Recreation District 179,Recreation District,10.036,4.1,4.5162,5.5198,0.0,0.0,1.0,0.8,0.05,1.9
member-180,Ridgeway City 180,City,5.758,3.5,2.0153,1.7274,1.2668,0.7485,1.1,1.0,1.0,0.6
member-181,Brookhaven School District 181,School District,3.518,6.3,2.4626,0.985,0.0704,0.0,0.9,1.1,0.1,1.8
member-182,Pinecrest County 182,County,3.569,6.7,1.606,0.8922,0.7138,0.3569,1.0,1.1,1.0,0.8
member-183,Stonehill Park District 183,Park District,2.952,5.9,0.8856,2.0664,0.0,0.0,1.0,0.8,0.05,1.6
member-184,Brookhaven Park District 184,Park District,2.762,4.9,0.8286,1.9334,0.0,0.0,1.0,0.8,0.05,1.6
member-185,Ridgeway Special District 185,Special District,5.855,5.4,2.9275,2.9275,0.0,0.0,0.9,1.0,0.05,0.4
member-186,Clearwater Water District 186,Water District,1.011,4.6,0.3033,0.7077,0.0,0.0,0.8,1.2,0.0,0.1
member-187,Stonehill Recreation District 187,Recreation District,7.276,4.8,3.2742,4.0018,0.0,0.0,1.0,0.8,0.05,1.9
member-188,Pinecrest School District 188,School District,10.839,0,7.5873,3.0349,0.2168,0.0,0.9,1.1,0.1,1.8
member-189,Clearwater County 189,County,2.238,4.1,1.0071,0.5595,0.4476,0.2238,1.0,1.1,1.0,0.8
member-190,Southgate Transit Authority 190,Transit Authority,2.413,5.1,0.6032,1.8097,0.0,0.0,1.6,1.0,0.1,0.3
member-191,Northvale Recreation District 191,Recreation District,3.607,1.3,1.6232,1.9839,0.0,0.0,1.0,0.8,0.05,1.9
member-192,Harbor City 192,City,21.256,3.2,7.4396,6.3768,4.6763,2.7633,1.1,1.0,1.0,0.6
member-193,Clearwater School District 193,School District,22.272,5.8,15.5904,6.2362,0.4454,0.0,0.9,1.1,0.1,1.8
member-194,Oakdale School District 194,School District,3.869,3.6,2.7083,1.0833,0.0774,0.0,0.9,1.1,0.1,1.8
member-195,Harbor School District 195,School District,6.577,4.4,4.6039,1.8416,0.1315,0.0,0.9,1.1,0.1,1.8
member-196,Riverton Water District 196,Water District,8.33,0,2.499,5.831,0.0,0.0,0.8,1.2,0.0,0.1
member-197,Lakeside Water District 197,Water District,1.77,8.9,0.531,1.239,0.0,0.0,0.8,1.2,0.0,0.1
member-198,Glenmoor Fire District 198,Fire District,2.684,3.5,0.2147,0.1074,0.0,2.3619,0.9,0.9,0.05,0.2
member-199,Maplewood Recreation District 199,Recreation District,1.392,3.5,0.6264,0.7656,0.0,0.0,1.0,0.8,0.05,1.9
member-200,Oakdale Fire District 200,Fire District,9.575,5.4,0.766,0.383,0.0,8.426,0.9,0.9,0.05,0.2
