ID,Name,Type,Payroll ($M),Risk Quality,Region,TIV ($M),WC_clerical,WC_pubworks,WC_police,WC_fire,GL_gen,GL_epl,GL_lawenf,GL_abuse
member-028,Stonehill Park District 028,Park District,2.73,5.0,Central,11.613,0.819,1.911,0.0,0.0,1.0,0.8,0.05,1.6
member-029,Clearwater Water District 029,Water District,0.277,7.4,North,3.067,0.0831,0.1939,0.0,0.0,0.8,1.2,0.0,0.1
member-030,Westfield Special District 030,Special District,2.99,5.5,South,17.377,1.495,1.495,0.0,0.0,0.9,1.0,0.05,0.4
member-031,Valley Recreation District 031,Recreation District,1.718,7.1,North,3.755,0.7731,0.9449,0.0,0.0,1.0,0.8,0.05,1.9
member-032,Oakdale County 032,County,9.284,7.3,Central,36.887,4.1778,2.321,1.8568,0.9284,1.0,1.1,1.0,0.8
member-033,Westfield Special District 033,Special District,1.077,6.0,South,5.501,0.5385,0.5385,0.0,0.0,0.9,1.0,0.05,0.4
member-034,Stonehill Special District 034,Special District,10.578,5.4,North,46.397,5.289,5.289,0.0,0.0,0.9,1.0,0.05,0.4
member-035,Eastbrook Fire District 035,Fire District,2.328,5.6,North,9.283,0.1862,0.0931,0.0,2.0486,0.9,0.9,0.05,0.2
member-036,Summit City 036,City,3.659,3.7,South,5.762,1.2806,1.0977,0.805,0.4757,1.1,1.0,1.0,0.6
member-037,Summit Park District 037,Park District,5.35,6.7,North,21.791,1.605,3.745,0.0,0.0,1.0,0.8,0.05,1.6
member-038,Ridgeway County 038,County,4.756,6.2,North,27.067,2.1402,1.189,0.9512,0.4756,1.0,1.1,1.0,0.8
member-039,Stonehill Special District 039,Special District,2.877,5.2,North,17.931,1.4385,1.4385,0.0,0.0,0.9,1.0,0.05,0.4
member-040,Oakdale Water District 040,Water District,1.473,3.4,Central,16.892,0.4419,1.0311,0.0,0.0,0.8,1.2,0.0,0.1
member-041,Northvale Transit Authority 041,Transit Authority,2.385,5.5,Central,19.636,0.5962,1.7887,0.0,0.0,1.6,1.0,0.1,0.3
member-042,Eastbrook School District 042,School District,2.608,7.0,North,3.593,1.8256,0.7302,0.0522,0.0,0.9,1.1,0.1,1.8
member-043,Southgate Park District 043,Park District,3.469,6.0,Central,16.716,1.0407,2.4283,0.0,0.0,1.0,0.8,0.05,1.6
member-044,Riverton Recreation District 044,Recreation District,5.356,4.9,Central,14.629,2.4102,2.9458,0.0,0.0,1.0,0.8,0.05,1.9
member-045,Harbor County 045,County,39.04,9.6,South,78.636,17.568,9.76,7.808,3.904,1.0,1.1,1.0,0.8
member-046,Ashford School District 046,School District,2.504,8.2,North,9.679,1.7528,0.7011,0.0501,0.0,0.9,1.1,0.1,1.8
member-047,Ashford County 047,County,23.468,7.6,North,48.505,10.5606,5.867,4.6936,2.3468,1.0,1.1,1.0,0.8
member-048,Westfield Water District 048,Water District,2.652,5.0,North,26.883,0.7956,1.8564,0.0,0.0,0.8,1.2,0.0,0.1
member-049,Westfield City 049,City,4.137,1.7,North,6.066,1.4479,1.2411,0.9101,0.5378,1.1,1.0,1.0,0.6
member-050,Ashford Fire District 050,Fire District,3.032,5.3,North,10.539,0.2426,0.1213,0.0,2.6682,0.9,0.9,0.05,0.2
member-051,Eastbrook County 051,County,3.011,7.4,Central,10.225,1.355,0.7528,0.6022,0.3011,1.0,1.1,1.0,0.8
member-052,Southgate Water District 052,Water District,4.451,3.1,South,49.252,1.3353,3.1157,0.0,0.0,0.8,1.2,0.0,0.1
member-053,Eastbrook School District 053,School District,1.985,5.1,North,4.791,1.3895,0.5558,0.0397,0.0,0.9,1.1,0.1,1.8
member-054,Riverton Special District 054,Special District,3.872,6.2,Central,24.4,1.936,1.936,0.0,0.0,0.9,1.0,0.05,0.4
member-055,Lakeside Transit Authority 055,Transit Authority,10.136,3.5,North,50.226,2.534,7.602,0.0,0.0,1.6,1.0,0.1,0.3
member-056,Pinecrest Water District 056,Water District,4.327,5.4,South,64.328,1.2981,3.0289,0.0,0.0,0.8,1.2,0.0,0.1
member-057,Summit Fire District 057,Fire District,1.423,2.8,Central,5.83,0.1138,0.0569,0.0,1.2522,0.9,0.9,0.05,0.2
member-058,Ridgeway School District 058,School District,1.188,5.3,South,2.473,0.8316,0.3326,0.0238,0.0,0.9,1.1,0.1,1.8
member-059,Maplewood Special District 059,Special District,0.923,6.1,Central,4.938,0.4615,0.4615,0.0,0.0,0.9,1.0,0.05,0.4
member-060,Oakdale City 060,City,2.011,3.0,North,4.534,0.7038,0.6033,0.4424,0.2614,1.1,1.0,1.0,0.6
member-061,Lakeside County 061,County,16.673,6.4,North,37.375,7.5028,4.1682,3.3346,1.6673,1.0,1.1,1.0,0.8
member-062,Glenmoor City 062,City,27.998,4.5,South,66.322,9.7993,8.3994,6.1596,3.6397,1.1,1.0,1.0,0.6
member-063,Valley City 063,City,8.914,3.1,Central,30.451,3.1199,2.6742,1.9611,1.1588,1.1,1.0,1.0,0.6
member-064,Harbor City 064,City,16.989,4.4,South,64.043,5.9462,5.0967,3.7376,2.2086,1.1,1.0,1.0,0.6
member-065,Maplewood Transit Authority 065,Transit Authority,4.467,4.8,North,22.235,1.1167,3.3502,0.0,0.0,1.6,1.0,0.1,0.3
member-066,Stonehill Fire District 066,Fire District,0.84,5.2,South,2.006,0.0672,0.0336,0.0,0.7392,0.9,0.9,0.05,0.2
member-067,Northvale Transit Authority 067,Transit Authority,20.501,4.1,South,83.803,5.1253,15.3758,0.0,0.0,1.6,1.0,0.1,0.3
member-068,Eastbrook Transit Authority 068,Transit Authority,70.902,5.1,Central,641.83,17.7255,53.1765,0.0,0.0,1.6,1.0,0.1,0.3
member-069,Cedar Falls Transit Authority 069,Transit Authority,1.379,5.1,South,8.159,0.3448,1.0343,0.0,0.0,1.6,1.0,0.1,0.3
member-070,Lakeside Recreation District 070,Recreation District,5.535,2.8,North,17.883,2.4908,3.0443,0.0,0.0,1.0,0.8,0.05,1.9
member-071,Oakdale Water District 071,Water District,1.076,5.0,Central,8.393,0.3228,0.7532,0.0,0.0,0.8,1.2,0.0,0.1
member-072,Westfield City 072,City,7.163,2.8,South,12.247,2.5071,2.1489,1.5759,0.9312,1.1,1.0,1.0,0.6
member-073,Westfield Special District 073,Special District,3.791,7.1,South,22.471,1.8955,1.8955,0.0,0.0,0.9,1.0,0.05,0.4
member-074,Ridgeway Park District 074,Park District,3.857,6.6,North,13.777,1.1571,2.6999,0.0,0.0,1.0,0.8,0.05,1.6
member-075,Clearwater Park District 075,Park District,3.68,7.2,Central,11.401,1.104,2.576,0.0,0.0,1.0,0.8,0.05,1.6
member-076,Southgate Transit Authority 076,Transit Authority,2.336,7.3,South,8.543,0.584,1.752,0.0,0.0,1.6,1.0,0.1,0.3
member-077,Northvale City 077,City,2.676,4.1,South,4.922,0.9366,0.8028,0.5887,0.3479,1.1,1.0,1.0,0.6
member-078,Lakeside Fire District 078,Fire District,10.23,6.3,North,45.136,0.8184,0.4092,0.0,9.0024,0.9,0.9,0.05,0.2
member-079,Northvale Park District 079,Park District,0.912,5.6,North,3.057,0.2736,0.6384,0.0,0.0,1.0,0.8,0.05,1.6
member-080,Fairmont City 080,City,19.87,3.1,North,49.712,6.9545,5.961,4.3714,2.5831,1.1,1.0,1.0,0.6
member-081,Fairmont Transit Authority 081,Transit Authority,4.701,4.0,Central,24.776,1.1752,3.5257,0.0,0.0,1.6,1.0,0.1,0.3
member-082,Southgate Water District 082,Water District,4.879,6.2,North,39.003,1.4637,3.4153,0.0,0.0,0.8,1.2,0.0,0.1
member-083,Westfield Special District 083,Special District,3.297,7.4,South,15.29,1.6485,1.6485,0.0,0.0,0.9,1.0,0.05,0.4
member-084,Valley Water District 084,Water District,0.421,3.7,North,7.084,0.1263,0.2947,0.0,0.0,0.8,1.2,0.0,0.1
member-085,Lakeside Park District 085,Park District,4.707,5.6,North,12.113,1.4121,3.2949,0.0,0.0,1.0,0.8,0.05,1.6
member-086,Northvale Special District 086,Special District,5.862,4.8,South,40.494,2.931,2.931,0.0,0.0,0.9,1.0,0.05,0.4
member-087,Ashford County 087,County,38.359,5.2,North,88.773,17.2615,9.5898,7.6718,3.8359,1.0,1.1,1.0,0.8
member-088,Clearwater Recreation District 088,Recreation District,9.325,1.3,North,24.22,4.1963,5.1288,0.0,0.0,1.0,0.8,0.05,1.9
member-089,Southgate County 089,County,10.127,5.0,South,21.684,4.5572,2.5318,2.0254,1.0127,1.0,1.1,1.0,0.8
member-090,Pinecrest Recreation District 090,Recreation District,3.729,8.1,Central,16.096,1.6781,2.051,0.0,0.0,1.0,0.8,0.05,1.9
member-091,Brookhaven Water District 091,Water District,4.666,1.0,Central,25.836,1.3998,3.2662,0.0,0.0,0.8,1.2,0.0,0.1
member-092,Eastbrook City 092,City,6.945,4.6,North,21.303,2.4307,2.0835,1.5279,0.9029,1.1,1.0,1.0,0.6
member-093,Glenmoor Special District 093,Special District,2.114,8.1,North,8.283,1.057,1.057,0.0,0.0,0.9,1.0,0.05,0.4
member-094,Northvale Park District 094,Park District,4.023,5.2,South,16.025,1.2069,2.8161,0.0,0.0,1.0,0.8,0.05,1.6
member-095,Clearwater City 095,City,9.219,3.5,North,22.009,3.2266,2.7657,2.0282,1.1985,1.1,1.0,1.0,0.6
member-096,Maplewood City 096,City,2.571,3.1,Central,7.792,0.8999,0.7713,0.5656,0.3342,1.1,1.0,1.0,0.6
member-097,Harbor Water District 097,Water District,3.367,5.5,Central,20.672,1.0101,2.3569,0.0,0.0,0.8,1.2,0.0,0.1
member-098,Oakdale County 098,County,26.296,7.1,Central,39.289,11.8332,6.574,5.2592,2.6296,1.0,1.1,1.0,0.8
member-099,Ridgeway Special District 099,Special District,0.591,6.3,South,3.502,0.2955,0.2955,0.0,0.0,0.9,1.0,0.05,0.4
member-100,Maplewood Water District 100,Water District,7.014,7.2,South,58.138,2.1042,4.9098,0.0,0.0,0.8,1.2,0.0,0.1
member-101,Stonehill School District 101,School District,1.784,4.0,Central,8.775,1.2488,0.4995,0.0357,0.0,0.9,1.1,0.1,1.8
member-102,Stonehill Transit Authority 102,Transit Authority,1.51,4.3,North,9.44,0.3775,1.1325,0.0,0.0,1.6,1.0,0.1,0.3
member-103,Glenmoor Transit Authority 103,Transit Authority,4.069,6.5,South,24.45,1.0172,3.0518,0.0,0.0,1.6,1.0,0.1,0.3
member-104,Stonehill Park District 104,Park District,7.542,5.1,North,18.459,2.2626,5.2794,0.0,0.0,1.0,0.8,0.05,1.6
member-105,Ridgeway Water District 105,Water District,3.179,3.7,South,24.527,0.9537,2.2253,0.0,0.0,0.8,1.2,0.0,0.1
member-106,Pinecrest Water District 106,Water District,0.721,3.8,North,8.052,0.2163,0.5047,0.0,0.0,0.8,1.2,0.0,0.1
member-107,Lakeside Water District 107,Water District,1.372,2.9,Central,21.715,0.4116,0.9604,0.0,0.0,0.8,1.2,0.0,0.1
member-108,Valley School District 108,School District,1.701,9.0,South,3.584,1.1907,0.4763,0.034,0.0,0.9,1.1,0.1,1.8
member-109,Stonehill Fire District 109,Fire District,3.849,2.8,South,6.069,0.3079,0.154,0.0,3.3871,0.9,0.9,0.05,0.2
member-110,Brookhaven County 110,County,13.183,7.0,Central,34.074,5.9324,3.2957,2.6366,1.3183,1.0,1.1,1.0,0.8
member-111,Pinecrest Special District 111,Special District,0.748,5.6,North,6.692,0.374,0.374,0.0,0.0,0.9,1.0,0.05,0.4
member-112,Glenmoor Water District 112,Water District,1.481,4.4,South,11.99,0.4443,1.0367,0.0,0.0,0.8,1.2,0.0,0.1
member-113,Northvale Transit Authority 113,Transit Authority,2.511,6.5,Central,8.646,0.6278,1.8833,0.0,0.0,1.6,1.0,0.1,0.3
member-114,Ashford Special District 114,Special District,10.225,5.1,North,27.766,5.1125,5.1125,0.0,0.0,0.9,1.0,0.05,0.4
member-115,Pinecrest County 115,County,18.156,4.1,Central,57.512,8.1702,4.539,3.6312,1.8156,1.0,1.1,1.0,0.8
member-116,Pinecrest City 116,City,5.244,5.7,Central,10.947,1.8354,1.5732,1.1537,0.6817,1.1,1.0,1.0,0.6
member-117,Summit County 117,County,5.279,7.1,Central,14.399,2.3756,1.3197,1.0558,0.5279,1.0,1.1,1.0,0.8
member-118,Valley School District 118,School District,20.267,3.5,Central,51.48,14.1869,5.6748,0.4053,0.0,0.9,1.1,0.1,1.8
member-119,Summit Recreation District 119,Recreation District,6.298,2.8,South,26.557,2.8341,3.4639,0.0,0.0,1.0,0.8,0.05,1.9
member-120,Pinecrest Water District 120,Water District,5.582,9.9,North,94.974,1.6746,3.9074,0.0,0.0,0.8,1.2,0.0,0.1
member-121,Oakdale Fire District 121,Fire District,2.237,5.7,South,19.625,0.179,0.0895,0.0,1.9686,0.9,0.9,0.05,0.2
member-122,Stonehill Transit Authority 122,Transit Authority,2.556,6.2,North,15.045,0.639,1.917,0.0,0.0,1.6,1.0,0.1,0.3
member-123,Eastbrook Fire District 123,Fire District,0.91,6.1,Central,2.729,0.0728,0.0364,0.0,0.8008,0.9,0.9,0.05,0.2
member-124,Ridgeway County 124,County,14.276,9.2,North,32.997,6.4242,3.569,2.8552,1.4276,1.0,1.1,1.0,0.8
member-125,Ashford City 125,City,1.965,4.4,South,4.311,0.6877,0.5895,0.4323,0.2555,1.1,1.0,1.0,0.6
member-126,Harbor City 126,City,8.229,2.7,North,22.562,2.8801,2.4687,1.8104,1.0698,1.1,1.0,1.0,0.6
member-127,Harbor Special District 127,Special District,20.753,6.9,Central,131.575,10.3765,10.3765,0.0,0.0,0.9,1.0,0.05,0.4
member-128,Glenmoor Water District 128,Water District,4.925,5.7,North,30.142,1.4775,3.4475,0.0,0.0,0.8,1.2,0.0,0.1
member-129,Summit Recreation District 129,Recreation District,7.568,3.6,South,11.675,3.4056,4.1624,0.0,0.0,1.0,0.8,0.05,1.9
member-130,Clearwater Recreation District 130,Recreation District,7.03,2.7,North,14.807,3.1635,3.8665,0.0,0.0,1.0,0.8,0.05,1.9
member-131,Glenmoor Water District 131,Water District,4.756,6.0,South,36.932,1.4268,3.3292,0.0,0.0,0.8,1.2,0.0,0.1
member-132,Valley Park District 132,Park District,8.133,4.0,South,69.164,2.4399,5.6931,0.0,0.0,1.0,0.8,0.05,1.6
member-133,Northvale Transit Authority 133,Transit Authority,7.412,4.4,Central,49.556,1.853,5.559,0.0,0.0,1.6,1.0,0.1,0.3
member-134,Lakeside City 134,City,0.966,4.6,North,1.651,0.3381,0.2898,0.2125,0.1256,1.1,1.0,1.0,0.6
member-135,Maplewood City 135,City,3.264,4.2,South,8.418,1.1424,0.9792,0.7181,0.4243,1.1,1.0,1.0,0.6
member-136,Ashford Fire District 136,Fire District,3.528,3.8,South,15.013,0.2822,0.1411,0.0,3.1046,0.9,0.9,0.05,0.2
member-137,Summit Fire District 137,Fire District,2.52,4.4,South,8.448,0.2016,0.1008,0.0,2.2176,0.9,0.9,0.05,0.2
member-138,Eastbrook City 138,City,9.783,3.4,South,11.423,3.424,2.9349,2.1523,1.2718,1.1,1.0,1.0,0.6
member-139,Brookhaven Recreation District 139,Recreation District,0.978,1.3,Central,2.282,0.4401,0.5379,0.0,0.0,1.0,0.8,0.05,1.9
member-140,Fairmont County 140,County,18.9,6.7,South,51.608,8.505,4.725,3.78,1.89,1.0,1.1,1.0,0.8
member-141,Pinecrest Transit Authority 141,Transit Authority,15.329,6.7,North,140.796,3.8323,11.4968,0.0,0.0,1.6,1.0,0.1,0.3
member-142,Valley Park District 142,Park District,2.619,5.3,Central,10.017,0.7857,1.8333,0.0,0.0,1.0,0.8,0.05,1.6
member-143,Lakeside Special District 143,Special District,1.95,5.0,North,13.667,0.975,0.975,0.0,0.0,0.9,1.0,0.05,0.4
member-144,Stonehill Special District 144,Special District,3.262,6.8,South,18.593,1.631,1.631,0.0,0.0,0.9,1.0,0.05,0.4
member-145,Ridgeway School District 145,School District,5.662,3.8,South,12.605,3.9634,1.5854,0.1132,0.0,0.9,1.1,0.1,1.8
member-146,Westfield City 146,City,3.227,2.2,Central,5.075,1.1294,0.9681,0.7099,0.4195,1.1,1.0,1.0,0.6
member-147,Westfield Park District 147,Park District,1.523,7.3,Central,6.816,0.4569,1.0661,0.0,0.0,1.0,0.8,0.05,1.6
member-148,Summit Recreation District 148,Recreation District,2.035,4.0,Central,5.895,0.9158,1.1193,0.0,0.0,1.0,0.8,0.05,1.9
member-149,Maplewood Water District 149,Water District,1.077,7.8,North,6.829,0.3231,0.7539,0.0,0.0,0.8,1.2,0.0,0.1
member-150,Ashford City 150,City,2.018,4.3,South,4.933,0.7063,0.6054,0.444,0.2623,1.1,1.0,1.0,0.6
member-151,Fairmont Special District 151,Special District,0.804,5.3,South,5.691,0.402,0.402,0.0,0.0,0.9,1.0,0.05,0.4
member-152,Clearwater Water District 152,Water District,1.743,1.0,Central,7.891,0.5229,1.2201,0.0,0.0,0.8,1.2,0.0,0.1
member-153,Pinecrest School District 153,School District,11.953,3.0,South,32.145,8.3671,3.3468,0.2391,0.0,0.9,1.1,0.1,1.8
member-154,Brookhaven Water District 154,Water District,2.02,3.6,North,24.963,0.606,1.414,0.0,0.0,0.8,1.2,0.0,0.1
member-155,Brookhaven Recreation District 155,Recreation District,16.843,6.5,Central,30.757,7.5793,9.2637,0.0,0.0,1.0,0.8,0.05,1.9
member-156,Maplewood Park District 156,Park District,0.649,5.3,North,4.457,0.1947,0.4543,0.0,0.0,1.0,0.8,0.05,1.6
member-157,Ridgeway City 157,City,7.368,3.1,North,15.997,2.5788,2.2104,1.621,0.9578,1.1,1.0,1.0,0.6
member-158,Valley Water District 158,Water District,2.113,7.7,Central,19.979,0.6339,1.4791,0.0,0.0,0.8,1.2,0.0,0.1
member-159,Ridgeway Park District 159,Park District,2.401,6.0,North,11.029,0.7203,1.6807,0.0,0.0,1.0,0.8,0.05,1.6
member-160,Brookhaven City 160,City,4.249,2.4,South,10.977,1.4871,1.2747,0.9348,0.5524,1.1,1.0,1.0,0.6
member-161,Northvale Park District 161,Park District,1.221,5.0,North,5.572,0.3663,0.8547,0.0,0.0,1.0,0.8,0.05,1.6
member-162,Stonehill City 162,City,6.695,5.3,Central,9.709,2.3432,2.0085,1.4729,0.8704,1.1,1.0,1.0,0.6
member-163,Cedar Falls School District 163,School District,0.942,7.6,South,1.087,0.6594,0.2638,0.0188,0.0,0.9,1.1,0.1,1.8
member-164,Pinecrest Water District 164,Water District,2.149,3.3,Central,20.14,0.6447,1.5043,0.0,0.0,0.8,1.2,0.0,0.1
member-165,Ridgeway Fire District 165,Fire District,2.184,4.8,North,10.843,0.1747,0.0874,0.0,1.9219,0.9,0.9,0.05,0.2
member-166,Lakeside Fire District 166,Fire District,2.005,1.9,North,13.35,0.1604,0.0802,0.0,1.7644,0.9,0.9,0.05,0.2
member-167,Harbor County 167,County,12.027,5.2,South,33.693,5.4121,3.0067,2.4054,1.2027,1.0,1.1,1.0,0.8
member-168,Westfield Special District 168,Special District,1.232,6.6,Central,3.813,0.616,0.616,0.0,0.0,0.9,1.0,0.05,0.4
member-169,Stonehill Recreation District 169,Recreation District,2.022,6.1,North,3.589,0.9099,1.1121,0.0,0.0,1.0,0.8,0.05,1.9
member-170,Southgate City 170,City,2.509,3.5,Central,5.772,0.8781,0.7527,0.552,0.3262,1.1,1.0,1.0,0.6
member-171,Riverton Transit Authority 171,Transit Authority,1.999,4.6,North,12.595,0.4998,1.4992,0.0,0.0,1.6,1.0,0.1,0.3
member-172,Riverton City 172,City,11.095,3.7,Central,32.896,3.8832,3.3285,2.4409,1.4424,1.1,1.0,1.0,0.6
member-173,Riverton Water District 173,Water District,2.455,6.4,Central,16.073,0.7365,1.7185,0.0,0.0,0.8,1.2,0.0,0.1
member-174,Harbor City 174,City,14.013,4.2,North,43.279,4.9045,4.2039,3.0829,1.8217,1.1,1.0,1.0,0.6
member-175,Harbor School District 175,School District,4.214,5.7,South,13.697,2.9498,1.1799,0.0843,0.0,0.9,1.1,0.1,1.8
member-176,Summit Special District 176,Special District,5.207,7.1,Central,27.679,2.6035,2.6035,0.0,0.0,0.9,1.0,0.05,0.4
member-177,Brookhaven Park District 177,Park District,0.621,4.8,North,1.564,0.1863,0.4347,0.0,0.0,1.0,0.8,0.05,1.6
member-178,Stonehill Park District 178,Park District,0.505,7.4,Central,1.454,0.1515,0.3535,0.0,0.0,1.0,0.8,0.05,1.6
member-179,Valley Recreation District 179,Recreation District,6.502,4.1,South,12.453,2.9259,3.5761,0.0,0.0,1.0,0.8,0.05,1.9
member-180,Ridgeway City 180,City,7.844,3.5,Central,14.746,2.7454,2.3532,1.7257,1.0197,1.1,1.0,1.0,0.6
member-181,Brookhaven School District 181,School District,2.279,6.3,North,4.252,1.5953,0.6381,0.0456,0.0,0.9,1.1,0.1,1.8
member-182,Pinecrest County 182,County,13.139,6.7,South,67.524,5.9125,3.2847,2.6278,1.3139,1.0,1.1,1.0,0.8
member-183,Stonehill Park District 183,Park District,1.913,5.9,Central,5.21,0.5739,1.3391,0.0,0.0,1.0,0.8,0.05,1.6
member-184,Brookhaven Park District 184,Park District,1.79,4.9,North,8.943,0.537,1.253,0.0,0.0,1.0,0.8,0.05,1.6
member-185,Ridgeway Special District 185,Special District,3.794,5.4,Central,34.681,1.897,1.897,0.0,0.0,0.9,1.0,0.05,0.4
member-186,Clearwater Water District 186,Water District,0.655,4.6,Central,2.291,0.1965,0.4585,0.0,0.0,0.8,1.2,0.0,0.1
member-187,Stonehill Recreation District 187,Recreation District,4.714,4.8,Central,14.881,2.1213,2.5927,0.0,0.0,1.0,0.8,0.05,1.9
member-188,Pinecrest School District 188,School District,7.023,1.0,South,23.249,4.9161,1.9664,0.1405,0.0,0.9,1.1,0.1,1.8
member-189,Clearwater County 189,County,8.239,4.1,North,34.456,3.7076,2.0598,1.6478,0.8239,1.0,1.1,1.0,0.8
member-190,Southgate Transit Authority 190,Transit Authority,1.563,5.1,Central,10.697,0.3907,1.1723,0.0,0.0,1.6,1.0,0.1,0.3
member-191,Northvale Recreation District 191,Recreation District,2.337,1.3,Central,6.37,1.0517,1.2854,0.0,0.0,1.0,0.8,0.05,1.9
member-192,Harbor City 192,City,28.958,3.2,South,54.74,10.1353,8.6874,6.3708,3.7645,1.1,1.0,1.0,0.6
member-193,Clearwater School District 193,School District,14.43,5.8,South,76.868,10.101,4.0404,0.2886,0.0,0.9,1.1,0.1,1.8
member-194,Oakdale School District 194,School District,2.507,3.6,South,8.53,1.7549,0.702,0.0501,0.0,0.9,1.1,0.1,1.8
member-195,Harbor School District 195,School District,4.261,4.4,South,14.885,2.9827,1.1931,0.0852,0.0,0.9,1.1,0.1,1.8
member-196,Riverton Water District 196,Water District,5.397,1.0,Central,87.943,1.6191,3.7779,0.0,0.0,0.8,1.2,0.0,0.1
member-197,Lakeside Water District 197,Water District,1.147,8.9,North,13.128,0.3441,0.8029,0.0,0.0,0.8,1.2,0.0,0.1
member-198,Glenmoor Fire District 198,Fire District,1.739,3.5,Central,8.011,0.1391,0.0696,0.0,1.5303,0.9,0.9,0.05,0.2
member-199,Maplewood Recreation District 199,Recreation District,0.902,3.5,Central,1.724,0.4059,0.4961,0.0,0.0,1.0,0.8,0.05,1.9
member-200,Oakdale Fire District 200,Fire District,6.204,5.4,Central,21.574,0.4963,0.2482,0.0,5.4595,0.9,0.9,0.05,0.2
